Sample.IDs,scientific_name,study_title,High.level.variety,High.level.tissue,High.level.age,High.level.stress.disease,Variety,Tissue,Age,Stress.disease,Comments,DOI,Intermediate,Intermediate_Stress_merged_control,Intermediate_Stress
Sample_176A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,milk grain stage,none,NA,NA,flag leaf blade,NA,NA
Sample_177A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,milk grain stage,none,NA,NA,flag leaf blade,NA,NA
Sample_178A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,milk grain stage,none,NA,NA,shoot axis,NA,NA
Sample_179A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,milk grain stage,none,NA,NA,shoot axis,NA,NA
Sample_180A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,milk grain stage,none,NA,NA,shoot axis,NA,NA
Sample_181A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade (senescence),milk grain stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_182A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade (senescence),milk grain stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_183A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade (senescence),milk grain stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_184A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,milk grain stage,none,NA,NA,peduncle,NA,NA
Sample_185A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,milk grain stage,none,NA,NA,peduncle,NA,NA
Sample_186A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,milk grain stage,none,NA,NA,peduncle,NA,NA
Sample_188B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,Internode #2,milk grain stage,none,NA,NA,internode,NA,NA
Sample_189B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,Internode #2,milk grain stage,none,NA,NA,internode,NA,NA
Sample_190A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,awns,milk grain stage,none,NA,NA,awns,NA,NA
Sample_191A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,awns,milk grain stage,none,NA,NA,awns,NA,NA
Sample_192A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,awns,milk grain stage,none,NA,NA,awns,NA,NA
Sample_193A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,glumes,milk grain stage,none,NA,NA,glumes,NA,NA
Sample_194A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,glumes,milk grain stage,none,NA,NA,glumes,NA,NA
Sample_195A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,glumes,milk grain stage,none,NA,NA,glumes,NA,NA
Sample_196A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,lemma,milk grain stage,none,NA,NA,glumes,NA,NA
Sample_197A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,lemma,milk grain stage,none,NA,NA,glumes,NA,NA
Sample_198A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,lemma,milk grain stage,none,NA,NA,glumes,NA,NA
Sample_199A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,milk grain stage,none,NA,NA,grain milk and soft dough,NA,NA
Sample_200A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,milk grain stage,none,NA,NA,grain milk and soft dough,NA,NA
Sample_201A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,milk grain stage,none,NA,NA,grain milk and soft dough,NA,NA
Sample_202A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade (senescence),Dough,none,NA,NA,flag leaf blade,NA,NA
Sample_203A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade (senescence),Dough,none,NA,NA,flag leaf blade,NA,NA
Sample_204A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade (senescence),Dough,none,NA,NA,flag leaf blade,NA,NA
Sample_205A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Soft dough,none,NA,NA,grain milk and soft dough,NA,NA
Sample_206A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Soft dough,none,NA,NA,grain milk and soft dough,NA,NA
Sample_207A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Soft dough,none,NA,NA,grain milk and soft dough,NA,NA
Sample_208A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Hard dough,none,NA,NA,grain hard dough and ripening,NA,NA
Sample_209A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Hard dough,none,NA,NA,grain hard dough and ripening,NA,NA
Sample_210A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Hard dough,none,NA,NA,grain hard dough and ripening,NA,NA
Sample_211B,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,endosperm,Dough,none,NA,NA,endosperm,NA,NA
Sample_212A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,endosperm,Dough,none,NA,NA,endosperm,NA,NA
Sample_213A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,endosperm,Dough,none,NA,NA,endosperm,NA,NA
Sample_214A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,embryo proper,Dough,none,NA,NA,embryo,NA,NA
Sample_215A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,embryo proper,Dough,none,NA,NA,embryo,NA,NA
Sample_216A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,embryo proper,Dough,none,NA,NA,embryo,NA,NA
Sample_217B,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Ripening,none,NA,NA,grain hard dough and ripening,NA,NA
Sample_218A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Ripening,none,NA,NA,grain hard dough and ripening,NA,NA
Sample_219A,Triticum aestivum,Development,BCS cv-1,grain,reproductive,none,BCS cv-1,grain,Ripening,none,NA,NA,grain hard dough and ripening,NA,NA
Sample_223B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade (senescence),Ripening,none,NA,NA,flag leaf blade,NA,NA
Sample_224A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade (senescence),Ripening,none,NA,NA,flag leaf blade,NA,NA
Sample_225A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade (senescence),Ripening,none,NA,NA,flag leaf blade,NA,NA
Wulff_H000b,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_H000d,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_H000e,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_H030a,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_H030b,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_H030e,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_H180b,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_H180c,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_H180d,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,three leaf stage,water,NA,NA,leaf excl flag leaf,No stress control,PAMP control
Wulff_C030a,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,chitin (1 g per liter),NA,NA,leaf excl flag leaf,PAMP chitin,PAMP chitin
Wulff_C030c,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,chitin (1 g per liter),NA,NA,leaf excl flag leaf,PAMP chitin,PAMP chitin
Wulff_C030e,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,chitin (1 g per liter),NA,NA,leaf excl flag leaf,PAMP chitin,PAMP chitin
Wulff_C180b,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,chitin (1 g per liter),NA,NA,leaf excl flag leaf,PAMP chitin,PAMP chitin
Wulff_C180c,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,chitin (1 g per liter),NA,NA,leaf excl flag leaf,PAMP chitin,PAMP chitin
Wulff_C180d,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,chitin (1 g per liter),NA,NA,leaf excl flag leaf,PAMP chitin,PAMP chitin
Wulff_F030c,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,flg22 (500 nM),NA,NA,leaf excl flag leaf,PAMP flg22,PAMP flg22
Wulff_F030d,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,flg22 (500 nM),NA,NA,leaf excl flag leaf,PAMP flg22,PAMP flg22
Wulff_F030e,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,flg22 (500 nM),NA,NA,leaf excl flag leaf,PAMP flg22,PAMP flg22
Wulff_F180a,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,flg22 (500 nM),NA,NA,leaf excl flag leaf,PAMP flg22,PAMP flg22
Wulff_F180b,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,flg22 (500 nM),NA,NA,leaf excl flag leaf,PAMP flg22,PAMP flg22
Wulff_F180c,Triticum aestivum,PAMP Triggered Imune Response,Chinese Spring,leaves/shoots,vegetative,disease,Chinese Spring,leaf,three leaf stage,flg22 (500 nM),NA,NA,leaf excl flag leaf,PAMP flg22,PAMP flg22
DF4,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,spike,booting,none,NA,NA,spike,NA,NA
DF5,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,spike,Ear emergence,none,NA,NA,spike,NA,NA
DF6,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,rachis,Ear emergence,none,NA,NA,rachis,NA,NA
DF18,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,spike,booting,none,NA,NA,spike,NA,NA
DF19,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,spike,Ear emergence,none,NA,NA,spike,NA,NA
DF20,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,rachis,Ear emergence,none,NA,NA,rachis,NA,NA
DF7,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,ovary,Late anthesis,none,NA,NA,stigma & ovary,NA,NA
DF8,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,ovary,Early anthesis,none,NA,NA,stigma & ovary,NA,NA
DF21,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,ovary,Late anthesis,none,NA,NA,stigma & ovary,NA,NA
DF22,Triticum aestivum,CS_spike,Chinese Spring,spike,reproductive,none,Chinese Spring,ovary,Early anthesis,none,NA,NA,stigma & ovary,NA,NA
Sample_C18BCACXX_D02.105.C.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D02.105.D.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D08.299.C.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D08.299.D.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_K.C.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_K.D.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_W.C.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_W.D.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D02.105.C.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D02.105.D.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D08.299.C.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D08.299.D.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_K.C.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_K.D.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_W.D.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D02.105.C.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D02.105.D.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D08.299.C.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D08.299.D.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_K.C.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_K.D.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_W.C.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_W.D.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D02.105.C.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D02.105.D.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_D08.299.C.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_K.C.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_K.D.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_W.C.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_C18BCACXX_W.D.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D02.105.C.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D02.105.D.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D08.299.C.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D08.299.D.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_K.C.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_K.D.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_W.C.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_W.D.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D02.105.C.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D02.105.D.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D08.299.C.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D08.299.D.AR5,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_K.C.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_K.D.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_W.C.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_W.D.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D02.105.C.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D02.105.D.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D08.299.C.AR6,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D08.299.D.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_K.C.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_K.D.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_W.C.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_W.D.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D02.105.C.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D02.105.D.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_D08.299.C.AR8,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_K.C.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_K.D.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_W.C.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
Sample_D1AD2ACXX_W.D.AR3,Triticum aestivum,developing spike,other,spike,reproductive,abiotic,WestoniaxKauz DH line,spike,Flag leaf stage,water stress early booting,NA,NA,spike,NA,NA
HI.3206.006.Index_2.CS_125RNA_14d_Leaf8,Triticum aestivum,CS_tissues,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,14 days,none,NA,NA,leaf excl flag leaf,NA,NA
HI.3206.006.Index_6.CS_125RNA_14d_Leaf9,Triticum aestivum,CS_tissues,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,14 days,none,NA,NA,leaf excl flag leaf,NA,NA
HI.3206.006.Index_15.CS_125RNA_14d_Leaf10,Triticum aestivum,CS_tissues,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,14 days,none,NA,NA,leaf excl flag leaf,NA,NA
HI.3671.002.Index_16.CS_150RNA_14d_leaf2,Triticum aestivum,CS_tissues,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,14 days,none,NA,NA,leaf excl flag leaf,NA,NA
HI.3671.002.Index_4.CS_150RNA_14d_leaf6,Triticum aestivum,CS_tissues,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,leaf,14 days,none,NA,NA,leaf excl flag leaf,NA,NA
HI.3206.006.Index_5.CS_125RNA_14d_Root8,Triticum aestivum,CS_tissues,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,14 days,none,HI.32006 and HI3309.007 can be combined,NA,roots,NA,NA
HI.3206.006.Index_19.CS_125RNA_14d_Root10,Triticum aestivum,CS_tissues,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,14 days,none,NA,NA,roots,NA,NA
HI.3671.002.Index_18.CS_150RNA_14d_root2,Triticum aestivum,CS_tissues,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,14 days,none,NA,NA,roots,NA,NA
HI.3671.002.Index_12.CS_150RNA_14d_root6,Triticum aestivum,CS_tissues,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,14 days,none,NA,NA,roots,NA,NA
HI.3206.006.Index_7.CS_125RNA_14d_Root9,Triticum aestivum,CS_tissues,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,14 days,none,NA,NA,roots,NA,NA
